category_id,sku,price
7,45080,0.99
7,91862,2.41
7,43665,2.32
7,61539,2.66
7,49217,2.99
7,11852,2.91
7,77381,2.91
7,33803,4.67
7,58804,4.99
7,78173,4.99
7,99304,7.74
7,52365,6.49
7,74511,6.57
7,87889,6.57
7,15361,5.57
7,68165,7.91
7,69416,8.32
7,69089,10.99
7,91232,49.99
7,92610,7.49
7,14637,4.66
7,11220,7.95
7,99887,7.95
7,91351,59.9
7,85137,10.62
7,66044,8.32
7,60449,11.66
7,57280,4.99
7,36594,54.16
7,30658,5.41
7,27912,4.99
7,24885,10.62
7,51064,1.95
7,38941,3.91
7,77137,4.91
7,96154,10.5
7,79630,2.49
7,47790,4.32
7,98810,5.57
7,89121,5.57
7,85802,10.5
7,69243,4.91
7,18844,10.82
7,39773,2.91
7,10243,2.91
7,60981,4.91
7,47409,5.82
7,21735,10.5
7,19015,2.74
7,98918,2.91
7,66578,3.32
7,95550,4.99
7,68418,7.07
7,54567,21.66
7,27571,3.92
7,17233,10.5
7,74688,10.5
7,10893,3.32
7,78519,10.41
7,30653,10.5
7,29227,4.91
7,84704,5.91
7,78871,1.91
7,86374,1.66
7,22271,5.16
7,61864,11.91
7,31670,8.57
7,97510,8
7,61251,5.91
7,16435,3.07
7,49358,11.24
7,79271,8
7,80659,7.66
7,52489,16.66
7,26219,6.66
7,36863,24.99
7,60395,7.49
7,93518,4.99
7,65666,17.49
7,93568,16.66
7,90006,10.5
7,81913,2.16
7,73723,10.5
7,48156,8.32
7,88524,6.49
7,49296,6.66
7,39201,9.99
7,94548,8.32
7,31341,10.5
7,76996,5.82
7,68055,29.16
7,38577,8
7,54493,6.49
7,62071,8
7,63775,25.41
7,61235,19.76
7,44511,5.82
7,67159,12.49
7,19378,20.82
7,57947,4.99
7,31552,7.07
7,25205,10.5
7,74493,5.24
7,52332,11.66
7,71377,10.82
7,70077,8.32
7,59879,16.66
7,48254,10.5
7,35668,20.48
7,99859,7.66
7,13708,6.49
7,92139,8.32
7,99644,8.33
7,93424,9.58
7,89519,8.33
7,89111,8.74
7,83128,8.33
7,75817,4.45
7,72066,8.33
7,71500,25.41
7,63106,6.65
7,61606,5.41
7,53825,2.12
7,43195,4.67
7,42287,6.24
7,40004,8.32
7,29905,8.66
